date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate,month,year,avg_rate
2025-01-04,87637,grain,Groundnut Small,મગફળી જીણી,0.0,925,1242,1,2025,0.09532543265613243
2025-01-04,87638,grain,Seasmum,તલી ,0.017391304347826087,2000,2600,1,2025,0.20974416854778027
2025-01-04,87639,grain,Castor seed,એરંડા,0.0067391304347826095,1174,1234,1,2025,0.10665914221218961
2025-01-04,87640,grain,Thymol,અજમો,0.00013043478260869567,2336,2336,1,2025,0.21313017306245294
2025-01-04,87641,grain,Dil Seed,સુવા,6.521739130434783e-05,1234,1234,1,2025,0.10948081264108352
2025-01-04,87642,grain,Soyabin,સોયાબીન,0.013043478260869566,800,835,1,2025,0.0703066215199398
2025-01-04,87643,grain,Groundnut-Fada,સીંગફાડા,0.018260869565217393,1050,1301,1,2025,0.1039785553047404
2025-01-04,87644,grain,Sesmum-Black,કાળા તલ ,0.0025,3550,4975,1,2025,0.3943284424379232
2025-01-04,87645,grain,Garlic,લસણ,0.010869565217391306,1621,3300,1,2025,0.22484010534236265
2025-01-04,87646,grain,Corriander,ધાણા,0.00391304347826087,1215,1565,1,2025,0.12415349887133183
2025-01-04,87647,grain,Chillies,મરચા સુકા ,0.006956521739130435,930,2440,1,2025,0.15189992475545522
2025-01-04,87648,grain,Dhani,ધાણી,0.0010869565217391304,1315,1584,1,2025,0.12974981188863804
2025-01-04,87649,grain,Variyali,વરીયાળી,0.0017391304347826088,1118,1484,1,2025,0.11578254326561324
2025-01-04,87650,grain,Cummin,જીરૂ,0.017391304347826087,4266,4795,1,2025,0.4195353649360421
2025-01-04,87651,grain,Mustard,રાય,0.0010869565217391304,1120,1250,1,2025,0.10487208427389014
2025-01-04,87652,grain,Fenugreek,મેથી,0.0032608695652173916,950,1242,1,2025,0.09650112866817155
2025-01-04,87653,grain,Isabgul,ઇસબગુલ,0.0013043478260869566,1800,1800,1,2025,0.1627163280662152
2025-01-04,87654,grain,Mustard seed,રાયડો,0.0011956521739130436,1045,1112,1,2025,0.09485515425131677
2025-01-04,87655,grain,Rajkoo Bee,રજકાનું બી ,4.347826086956522e-05,4250,4400,1,2025,0.40020692249811884
2025-01-04,87656,grain,Guvar Bee,ગુવારનું બી,0.0017391304347826088,950,1021,1,2025,0.08610797592174567
2025-01-06,87692,grain,Cotton B.T.,કપાસ બી.ટી.,0.0782608695652174,1350,1520,1,2025,0.12838600451467266
2025-01-06,87693,grain,Wheat Lokvan,ઘઉં લોકવન,0.0013043478260869566,501,648,1,2025,0.047451091045899174
2025-01-06,87694,grain,Wheat Tukda,ઘઉં ટુકડા,0.015217391304347827,603,671,1,2025,0.053329571106094806
2025-01-06,87695,grain,Jowar White,જુવાર સફેદ,0.0038043478260869567,770,900,1,2025,0.07195259593679458
2025-01-06,87696,grain,Jowar Red,જુવાર લાલ,0.0004565217391304348,925,1000,1,2025,0.08394469525959368
2025-01-06,87697,grain,Bajri,બાજરી,0.0010869565217391304,378,491,1,2025,0.034283295711060945
2025-01-06,87698,grain,Tuver,તુવેર,0.008695652173913044,1340,1835,1,2025,0.14272949586155
2025-01-06,87699,grain,Gram Yellow,ચણા પીળા,0.008695652173913044,1070,1270,1,2025,0.10346124905944319
2025-01-06,87700,grain,Gram White,ચણા સફેદ,0.0032608695652173916,1200,2600,1,2025,0.1721218961625282
2025-01-06,87701,grain,Urad,અડદ,0.010869565217391306,1050,1650,1,2025,0.12039127163280662
2025-01-06,87702,grain,Mung,મગ,0.011956521739130435,1350,1924,1,2025,0.14738525206922495
2025-01-06,87703,grain,Val Deshi,વાલ દેશી,0.0005434782608695652,1465,1630,1,2025,0.1389672686230248
2025-01-06,87704,grain,Choli,ચોળી,0.002173913043478261,1500,2313,1,2025,0.17273325808878853
2025-01-06,87705,grain,Math,મઠ,0.002826086956521739,910,1323,1,2025,0.09842927012791572
2025-01-06,87706,grain,Kulthi,કળથી,0.0009782608695652175,850,975,1,2025,0.07924191121143717
2025-01-06,87707,grain,Groundnut Big,મગફળી જાડી,0.0782608695652174,915,1144,1,2025,0.0902464258841234
2025-01-06,87708,grain,Groundnut Small,મગફળી જીણી,0.11739130434782609,935,1260,1,2025,0.09664221218961624
